id,mailing_design_id,clinic_id,clinic_af_file_id,printer_id,printer_product_id,printed_qty,distributor_id,distributor_service_id,distributed_stand_qty,distributed_doordrop_qty,"deleted_at","created_at","updated_at"
203,7,119,,5,5,84600,2,12,0,84600,,"2019-10-23 14:00:06","2019-10-25 11:34:43"
204,7,131,,5,5,37529,2,12,0,37529,,"2019-10-23 14:00:06","2019-10-25 11:34:44"
205,7,132,,5,5,66185,2,12,0,66185,,"2019-10-23 14:00:06","2019-10-25 11:34:44"
206,7,143,,5,5,75725,2,12,0,75725,,"2019-10-23 14:00:06","2019-10-25 11:34:45"
207,7,180,,5,5,62020,2,12,400,61620,,"2019-10-23 14:00:06","2019-10-25 11:34:47"
208,7,208,,5,5,84549,2,12,0,84549,,"2019-10-23 14:00:06","2019-10-25 11:34:42"
209,7,209,,5,5,47558,2,12,0,47558,,"2019-10-23 14:00:06","2019-10-25 11:34:43"
210,7,220,,5,5,75440,2,12,1200,74240,,"2019-10-23 14:00:06","2019-10-25 11:34:45"
211,7,221,,5,5,73832,2,12,0,73832,,"2019-10-23 14:00:06","2019-10-25 11:34:43"
212,7,224,,5,5,91000,2,12,0,91000,,"2019-10-23 14:00:06","2019-10-25 11:34:43"
213,7,141,,5,5,25610,2,13,0,25610,,"2019-10-23 14:00:06","2019-10-25 13:52:05"
214,7,142,,5,5,25610,2,13,0,25610,,"2019-10-23 14:00:06","2019-10-25 13:52:05"
215,7,186,,5,5,23615,2,13,0,23615,,"2019-10-23 14:00:06","2019-10-25 11:34:47"
216,7,94,,5,5,46875,2,19,0,46875,,"2019-10-23 14:00:06","2019-10-25 11:34:42"
217,7,210,,5,5,15500,2,11,0,15500,,"2019-10-23 14:00:06","2019-10-25 11:34:39"
218,8,235,,5,5,25000,3,21,0,25000,,"2019-10-23 14:00:08","2019-10-25 11:34:44"
219,9,234,,5,6,45000,4,14,0,45000,,"2019-10-23 14:00:10","2019-10-25 11:34:37"
220,9,233,,5,6,76000,2,12,0,76000,,"2019-10-23 14:00:10","2019-10-25 11:34:45"
